v8-version,6,2,414,54,0
code-creation,Builtin,5,245000,0x258686d25c0,15,"ObjectFreeze"
code-creation,Builtin,5,245000,0x258686d2640,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,245000,0x258686d26c0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,245000,0x258686d2740,15,"ObjectIsExtensible"
code-creation,Builtin,5,245000,0x258686d27c0,15,"ObjectIsFrozen"
code-creation,Builtin,5,245000,0x258686d2840,15,"ObjectIsSealed"
code-creation,Builtin,5,245000,0x258686d28c0,540,"ObjectKeys"
code-creation,Builtin,5,245000,0x258686d2b40,15,"ObjectEntries"
code-creation,Builtin,5,245000,0x258686d2bc0,15,"ObjectValues"
code-creation,Builtin,5,245000,0x258686d2c40,15,"ObjectDefineGetter"
code-creation,Builtin,5,245000,0x258686d2cc0,15,"ObjectDefineSetter"
code-creation,Builtin,5,245000,0x258686d2d40,1927,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,245000,0x258686d3540,15,"ObjectLookupGetter"
code-creation,Builtin,5,245000,0x258686d35c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,245000,0x258686d3640,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,245000,0x258686d3780,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,245000,0x258686d3800,1176,"ObjectPrototypeToString"
code-creation,Builtin,5,245000,0x258686d3d00,132,"ClassOf"
code-creation,Builtin,5,245000,0x258686d3e00,47,"ObjectPrototypeValueOf"
code-creation,Builtin,5,245000,0x258686d3ea0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,245000,0x258686d3f20,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,245000,0x258686d3fa0,15,"FunctionConstructor"
code-creation,Builtin,5,245000,0x258686d4020,64,"FunctionPrototypeApply"
code-creation,Builtin,5,245000,0x258686d40c0,1240,"CallWithArrayLike"
code-creation,Builtin,5,245000,0x258686d4600,81,"CallVarargs"
code-creation,Builtin,5,245000,0x258686d46c0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,245000,0x258686d4a80,15,"FunctionPrototypeBind"
code-creation,Builtin,5,245000,0x258686d4b00,47,"FunctionPrototypeCall"
code-creation,Builtin,5,245000,0x258686d4ba0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,245000,0x258686d4c20,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,245000,0x258686d4d80,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,245000,0x258686d4e20,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,245000,0x258686d52a0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,245000,0x258686d5720,159,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,245000,0x258686d5820,167,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,245000,0x258686d5940,163,"AsyncGeneratorYieldResolveClosure"
code-creation,Builtin,5,245000,0x258686d5a60,167,"AsyncGeneratorReturnResolveClosure"
code-creation,Builtin,5,245000,0x258686d5b80,163,"AsyncGeneratorReturnClosedResolveClosure"
code-creation,Builtin,5,245000,0x258686d5ca0,159,"AsyncGeneratorReturnClosedRejectClosure"
code-creation,Builtin,5,245000,0x258686d5da0,20,"ArrayConstructor"
code-creation,Builtin,5,245000,0x258686d5e20,99,"ArrayIsArray"
code-creation,Builtin,5,245000,0x258686d5f00,15,"ArrayConcat"
code-creation,Builtin,5,245000,0x258686d5f80,651,"FastArrayPop"
code-creation,Builtin,5,245000,0x258686d6280,15,"ArrayPop"
code-creation,Builtin,5,245000,0x258686d6300,2400,"FastArrayPush"
code-creation,Builtin,5,245000,0x258686d6cc0,15,"ArrayPush"
code-creation,Builtin,5,245000,0x258686d6d40,1064,"FastArrayShift"
code-creation,Builtin,5,245000,0x258686d71e0,15,"ArrayShift"
code-creation,Builtin,5,245000,0x258686d7260,15,"ArrayUnshift"
code-creation,Builtin,5,245000,0x258686d72e0,15,"ArraySlice"
code-creation,Builtin,5,245000,0x258686d7360,15,"ArraySplice"
code-creation,Builtin,5,245000,0x258686d73e0,1264,"ArrayIncludes"
code-creation,Builtin,5,245000,0x258686d7940,1052,"ArrayIndexOf"
code-creation,Builtin,5,245000,0x258686d7dc0,386,"ArrayPrototypeKeys"
code-creation,Builtin,5,245000,0x258686d7fc0,526,"ArrayPrototypeEntries"
code-creation,Builtin,5,245000,0x258686d8240,526,"ArrayPrototypeValues"
code-creation,Builtin,5,245000,0x258686d84c0,1509,"ArrayForEach"
code-creation,Builtin,5,245000,0x258686d8b20,538,"ToLength"
code-creation,Builtin,5,245000,0x258686d8da0,249,"NonNumberToNumber"
code-creation,Builtin,5,245000,0x258686d8f00,190,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,245000,0x258686d9020,2784,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,245000,0x258686d9b60,1936,"ProxyHasProperty"
code-creation,Builtin,5,245000,0x258686da360,2028,"HasProperty"
code-creation,Builtin,5,245000,0x258686dabc0,5774,"ArrayFilter"
code-creation,Builtin,5,245000,0x258686dc2c0,4696,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,245000,0x258686dd580,2764,"ArrayMap"
code-creation,Builtin,5,245000,0x258686de0c0,2832,"ArrayMapLoopContinuation"
code-creation,Builtin,5,245000,0x258686dec40,1761,"ArrayEvery"
code-creation,Builtin,5,245000,0x258686df3a0,2880,"ArrayEveryLoopContinuation"
code-creation,Builtin,5,245000,0x258686dff40,1737,"ArraySome"
code-creation,Builtin,5,245000,0x258686e0680,2864,"ArraySomeLoopContinuation"
code-creation,Builtin,5,245000,0x258686e1220,1643,"ArrayReduce"
code-creation,Builtin,5,245000,0x258686e1900,2872,"ArrayReduceLoopContinuation"
code-creation,Builtin,5,245000,0x258686e24a0,1788,"ArrayReduceRight"
